CREDENTIAL_TITLE_REPORTED_TO_NSC	CREDENTIAL_LEVEL_CODE	CREDENTIAL_LEVEL_DESC
A/S IN SOCIOLOGY	A	Associates
A/S MARINE BIOLOGY	A	Associates
A/S NURSING	A	Associates
A/S PHYSICAL THERAPY	A	Associates
A/S PRE VET MED	A	Associates
A/S PRE-VET BIOLOGY	A	Associates
A/S SCIENCE	A	Associates
A/S SEC SCIENCE	A	Associates
A/S SECRETARIAL SCIENCE	A	Associates
A/S-ENGINEERING	A	Associates
A/S-FISH & WILDLIFE	A	Associates
A/T AUTO MECHANICS	A	Associates
A/T AUTO TECHNOLOGY	A	Associates
A/T AUTOMOTIVE MECHANICS	A	Associates
A/T AUTOMOTIVE TECHNOLOGY	A	Associates
A/T CARPENTRY	A	Associates
A/T CARPENTRY TECHNOLOGY	A	Associates
A/T DIESEL TECHNOLOGY	A	Associates
A/T H D EQUIP MECH-DIESEL	A	Associates
A/T HD EQUIP MACH-DIESEL	A	Associates
A/T HD EQUIP MECH DIESEL	A	Associates
A/T HD EQUIP MECH-DESEL	A	Associates
A/T HD EQUIP MECH-DIESEL	A	Associates
A/T MACHINE TECHNOLOGY	A	Associates
A/T MATERIAL PROC & FABRIC TEC	A	Associates
A/T MATERIAL PROCESSING & FAB	A	Associates
A/T WELDING TECHNOLOGY	A	Associates
AA	A	Associates
AA    AWARDED APRIL 24 2001	A	Associates
AA    BACHELOR OF APPLIED SCIENCE	A	Associates
AA    BACHELOR OF ARCHITECTURE	A	Associates
AA    BACHELOR OF ARTS	A	Associates
AA    BACHELOR OF ARTS IN EDUCATION	A	Associates
AA    BACHELOR OF BUSINESS ADMINISTRATION	A	Associates
AA    BACHELOR OF COMPUTER ENGINEERING	A	Associates
AA    BACHELOR OF FINE ARTS	A	Associates
